Date,Carpool,Actual,Capacity
7-22,AA,4.0,8.0
7-22,B,10.0,10.0
7-22,D,5.0,4.0
7-22,G,14.0,14.0
7-22,NF,20.0,18.0
7-22,R,2.0,4.0
7-22,T,3.0,6.0
7-22,OP,15.0,18.0
7-23,AA,5.0,8.0
7-23,B,34.0,33.0
7-23,D,5.0,8.0
7-23,G,9.0,18.0
7-23,GP,3.0,4.0
7-23,NF,29.0,29.0
7-23,R,7.0,4.0
7-23,T,6.0,14.0
7-23,OP,24.0,14.0
7-24,AA,5.0,5.0
7-24,B,21.0,33.0
7-24,D,11.0,4.0
7-24,G,20.0,19.0
7-24,GP,0.0,4.0
7-24,NF,29.0,29.0
7-24,R,5.0,4.0
7-24,T,4.0,10.0
7-24,OP,15.0,19.0
7-25,AA,6.0,5.0
7-25,B,5.0,5.0
7-25,D,8.0,5.0
7-25,G,5.0,5.0
7-25,GP,9.0,20.0
7-25,NF,0.0,5.0
7-25,R,4.0,5.0
7-25,OP,0.0,4.0
7-31,AA,6.0,8.0
7-31,B,22.0,34.0
7-31,D,9.0,4.0
7-31,G,10.0,19.0
7-31,GP,4.0,4.0
7-31,NF,39.0,33.0
7-31,R,4.0,4.0
7-31,T,6.0,10.0
7-31,OP,16.0,14.0
7-30,AA,2.0,8.0
7-30,B,27.0,34.0
7-30,D,6.0,8.0
7-30,G,13.0,14.0
7-30,GP,0.0,4.0
7-30,NF,40.0,38.0
7-30,R,1.0,4.0
7-30,T,2.0,10.0
7-30,OP,17.0,14.0
8-14,AA,3.0,5.0
8-14,B,22.0,29.0
8-14,D,0,5.0
8-14,G,10.0,14.0
8-14,GP,5.0,5.0
8-14,NF,25.0,29.0
8-14,R,7.0,5.0
8-14,T,5.0,11.0
8-14,OP,11.0,20.0
7-18,AA,5.0,8.0
7-18,B,34.0,33.0
7-18,D,3.0,7.0
7-18,G,0.0,5.0
7-18,GP,0.0,4.0
7-18,NF,36.0,27.0
7-18,R,8.0,4.0
7-18,T,12.0,6.0
7-18,OP,13.0,14.0
7-17,AA,3.0,8.0
7-17,B,30.0,32.0
7-17,D,6.0,8.0
7-17,G,17.0,19.0
7-17,GP,5.0,4.0
7-17,NF,33.0,22.0
7-17,R,4.0,4.0
7-17,T,13.0,13.0
7-17,OP,13.0,18.0
7-16,AA,1.0,8.0
7-16,B,21.0,28.0
7-16,D,10.0,4.0
7-16,G,14.0,18.0
7-16,GP,1.0,4.0
7-16,NF,29.0,36.0
7-16,R,5.0,8.0
7-16,T,5.0,10.0
7-16,OP,8.0,18.0
7-15,AA,4.0,8.0
7-15,B,37.0,33.0
7-15,D,6.0,4.0
7-15,G,15.0,18.0
7-15,GP,5.0,4.0
7-15,NF,23.0,35.0
7-15,R,4.0,8.0
7-15,T,4.0,14.0
7-15,OP,18.0,18.0
8-15,R,19.0,19.0
8-13,AA,8.0,7.0
8-13,B,14.0,29.0
8-13,D,7.0,5.0
8-13,G,8.0,14.0
8-13,GP,0.0,5.0
8-13,NF,25.0,29.0
8-13,R,5.0,5.0
8-13,T,8.0,11.0
8-13,OP,11.0,20.0
7-11,AA,4.0,8.0
7-11,B,37.0,30.0
7-11,D,4.0,8.0
7-11,G,15.0,19.0
7-11,GP,2.0,4.0
7-11,NF,24.0,35.0
7-11,R,11.0,8.0
7-11,T,10.0,10.0
7-11,OP,19.0,18.0
7-10,AA,3.0,8.0
7-10,B,4.0,33.0
7-10,D,8.0,8.0
7-10,G,16.0,18.0
7-10,GP,3.0,4.0
7-10,NF,25.0,27.0
7-10,R,6.0,8.0
7-10,T,11.0,14.0
7-10,OP,15.0,22.0
7-9,AA,3.0,8.0
7-9,B,39.0,33.0
7-9,D,5.0,8.0
7-9,G,8.0,18.0
7-9,GP,2.0,4.0
7-9,NF,22.0,27.0
7-9,R,8.0,8.0
7-9,T,6.0,8.0
7-9,OP,17.0,22.0
7-8,AA,4.0,8.0
7-8,B,30.0,33.0
7-8,D,10.0,8.0
7-8,G,15.0,18.0
7-8,GP,6.0,4.0
7-8,NF,21.0,30.0
7-8,R,2.0,4.0
7-8,T,2.0,10.0
7-8,OP,12.0,22.0
7-3,AA,6.0,4.0
7-3,B,0.0,32.0
7-3,D,10.0,8.0
7-3,G,7.0,18.0
7-3,GP,1.0,10.0
7-3,NF,20.0,27.0
7-3,T,7.0,10.0
7-3,OP,15.0,18.0
7-2,AA,2.0,4.0
7-2,B,22.0,31.0
7-2,D,5.0,8.0
7-2,G,3.0,18.0
7-2,GP,10.0,4.0
7-2,NF,19.0,27.0
7-2,R,4.0,4.0
7-2,T,4.0,9.0
7-2,OP,20.0,18.0
7-1,AA,1.0,4.0
7-1,B,34.0,24.0
7-1,D,4.0,8.0
7-1,G,9.0,26.0
7-1,GP,0.0,4.0
7-1,NF,26.0,24.0
7-1,R,4.0,4.0
7-1,T,10.0,6.0
7-1,OP,22.0,18.0
6-25,AA,3.0,10.0
6-25,B,18.0,31.0
6-25,D,4.0,8.0
6-25,G,22.0,22.0
6-25,GP,6.0,8.0
6-25,NF,25.0,25.0
6-25,R,5.0,7.0
6-25,T,9.0,9.0
6-25,OP,20.0,29.0
6-24,AA,2.0,2.0
6-24,B,13.0,44.0
6-24,D,6.0,6.0
6-24,G,17.0,27.0
6-24,GP,6.0,4.0
6-24,NF,24.0,36.0
6-24,R,3.0,3.0
6-24,T,6.0,20.0
6-24,OP,16.0,18.0
6-27,AA,3.0,10.0
6-27,B,23.0,22.0
6-27,D,0.0,4.0
6-27,G,21.0,14.0
6-27,GP,0.0,4.0
6-27,NF,29.0,24.0
6-27,R,6.0,8.0
6-27,T,6.0,6.0
6-27,OP,22.0,19.0
6-26,AA,3.0,10.0
6-26,B,15.0,24.0
6-26,D,5.0,11.0
6-26,G,13.0,8.0
6-26,GP,0.0,8.0
6-26,NF,26.0,26.0
6-26,R,4.0,3.0
6-26,T,7.0,10.0
6-26,OP,14.0,24.0
8-8,AA,5.0,8.0
8-8,B,29.0,43.0
8-8,D,9.0,4.0
8-8,G,19.0,19.0
8-8,GP,8.0,4.0
8-8,NF,39.0,27.0
8-8,R,14.0,4.0
8-8,T,12.0,6.0
8-8,OP,20.0,14.0
8-5,AA,3.0,5.0
8-5,B,12.0,40.0
8-5,D,4.0,5.0
8-5,G,5.0,19.0
8-5,GP,2.0,10.0
8-5,NF,18.0,25.0
8-5,R,4.0,5.0
8-5,T,7.0,18.0
8-5,OP,10.0,20.0
8-6,T,3.0,3.0
8-7,AA,3.0,5.0
8-7,B,5.0,5.0
8-7,NF,25.0,30.0
8-7,G,6.0,14.0
8-7,GP,4.0,5.0
