Date,Carpool,Destination,Actual,Capacity
7-29,AA,Delray (585 S. Leigh St),4.0,0
7-29,B,LMS (1450 McKinstry St),5.0,0
7-29,B,Brightmoors,5.0,0
7-29,B,Delray (585 S. Leigh St),5.0,0
7-29,B,HamTown (8625 Joseph Campau),19.0,0
7-29,B,NWAC (18100 Meyers Rd),4.0,0
7-29,D,Delray (585 S. Leigh St),11.0,0
7-29,G,LMS (1450 McKinstry St),20.0,0
7-29,GP,Brightmoors,2.0,0
7-29,GP,Trumbull,2.0,0
7-29,NF,LMS (1450 McKinstry St),17.0,0
7-29,NF,Trumbull,8.0,0
7-29,NF,Brightmoors,4.0,0
7-29,R,Trumbull,2.0,0
7-29,R,HamTown (8625 Joseph Campau),5.0,0
7-29,T,LMS (1450 McKinstry St),10.0,0
7-29,T,Brightmoors,4.0,0
7-29,OP,Denby,12.0,0
7-29,OP,Pastuer,2.0,0
7-22,AA,Delray (585 S. Leigh St),4.0,8.0
7-22,B,NWAC (18100 Meyers Rd),14.0,0
7-22,B,Brightmoor.,1.0,1.0
7-22,B,Balduck,9.0,9.0
7-22,B,Delray (585 S. Leigh St),5.0,0
7-22,D,Delray (585 S. Leigh St),5.0,4.0
7-22,G,LMS (1450 McKinstry St),14.0,14.0
7-22,GP,Balduck,5.0,0
7-22,NF,LMS (1450 McKinstry St),20.0,18.0
7-22,NF,Brightmoor.,4.0,0
7-22,NF,HamTown (8625 Joseph Campau),4.0,0
7-22,R,HamTown (8625 Joseph Campau),2.0,4.0
7-22,T,LMS (1450 McKinstry St),3.0,6.0
7-22,T,Brightmoor.,3.0,0
7-22,X,LMS (1450 McKinstry St),0,2.0
7-22,OP,HamTown (8625 Joseph Campau),15.0,18.0
7-23,AA,Delray (585 S. Leigh St),5.0,8.0
7-23,B,NWAC (18100 Meyers Rd),8.0,5.0
7-23,B,Food Field,0,5.0
7-23,B,HamTown (8625 Joseph Campau),18.0,14.0
7-23,B,Delray (585 S. Leigh St),8.0,9.0
7-23,D,Northend,0,4.0
7-23,D,Delray (585 S. Leigh St),5.0,4.0
7-23,G,LMS (1450 McKinstry St),4.0,4.0
7-23,G,NWAC (18100 Meyers Rd),5.0,14.0
7-23,GP,Maybury Elema,3.0,4.0
7-23,NF,LMS (1450 McKinstry St),19.0,14.0
7-23,NF,Food Field,0,5.0
7-23,NF,Delray (585 S. Leigh St),3.0,5.0
7-23,NF,NWAC (18100 Meyers Rd),7.0,5.0
7-23,R,HamTown (8625 Joseph Campau),7.0,4.0
7-23,T,LMS (1450 McKinstry St),3.0,6.0
7-23,T,Food Field,0,4.0
7-23,T,NWAC (18100 Meyers Rd),3.0,4.0
7-23,X2,Maybury Elema,8.0,15.0
7-23,X,LMS (1450 McKinstry St),0,2.0
7-23,X,Maybury Elema,18.0,15.0
7-23,OP,Denby,24.0,14.0
7-24,AA,Delray (585 S. Leigh St),5.0,5.0
7-24,B,NWAC (18100 Meyers Rd),4.0,5.0
7-24,B,Henry Ford,3.0,4.0
7-24,B,Plum Street,0,5.0
7-24,B,HamTown (8625 Joseph Campau),10.0,14.0
7-24,B,Delray (585 S. Leigh St),4.0,5.0
7-24,D,Delray (585 S. Leigh St),11.0,4.0
7-24,G,LMS (1450 McKinstry St),15.0,14.0
7-24,G,NWAC (18100 Meyers Rd),5.0,5.0
7-24,GP,LMS (1450 McKinstry St),1.0,0
7-24,GP,Maybury Elema,0.0,4.0
7-24,NF,LMS (1450 McKinstry St),8.0,5.0
7-24,NF,Delray (585 S. Leigh St),6.0,5.0
7-24,NF,Plum Street,3.0,5.0
7-24,NF,NWAC (18100 Meyers Rd),12.0,14.0
7-24,R,HamTown (8625 Joseph Campau),5.0,4.0
7-24,T,LMS (1450 McKinstry St),3.0,6.0
7-24,T,Plum Street,1.0,4.0
7-24,X,LMS (1450 McKinstry St),0,2.0
7-24,OP,Pastuer ,0,5.0
7-24,OP,Henry Ford,15.0,14.0
7-25,AA,Henry Ford,6.0,5.0
7-25,B,Henry Ford,5.0,5.0
7-25,D,Henry Ford,8.0,5.0
7-25,G,Henry Ford,5.0,5.0
7-25,GP,Maybury,9.0,15.0
7-25,GP,Henry Ford,0,5.0
7-25,NF,Henry Ford,0,5.0
7-25,R,Henry Ford,4.0,5.0
7-25,T,Henry Ford,3.0,0.0
7-25,X,Henry Ford,30.0,30.0
7-25,OP,Henry Ford,0,4.0
7-31,AA,Delray (585 S. Leigh St),6.0,8.0
7-31,B,Palmer Park,4.0,5.0
7-31,B,LMS (1450 McKinstry St),14.0,14.0
7-31,B,HamTown (8625 Joseph Campau),0,10.0
7-31,B,NWAC (18100 Meyers Rd),4.0,5.0
7-31,D,Delray (585 S. Leigh St),9.0,4.0
7-31,G,NWAC (18100 Meyers Rd),10.0,14.0
7-31,G,Delray (585 S. Leigh St),0,5.0
7-31,GP,Palmer Park,4.0,4.0
7-31,NF,LMS (1450 McKinstry St),8.0,5.0
7-31,NF,Pastuer,13.0,14.0
7-31,NF,Henry Ford,10.0,4.0
7-31,NF,HamTown (8625 Joseph Campau),3.0,5.0
7-31,NF,Delray (585 S. Leigh St),5.0,5.0
7-31,R,Palmer Park,0.0,0
7-31,R,HamTown (8625 Joseph Campau),4.0,4.0
7-31,T,Palmer Park,2.0,4.0
7-31,T,LMS (1450 McKinstry St),4.0,6.0
7-31,T,Plum,5.0,0.0
7-31,X,LMS (1450 McKinstry St),0,2.0
7-31,X,Plum,0,30.0
7-31,OP,Henry Ford,16.0,14.0
7-30,AA,Delray (585 S. Leigh St),2.0,8.0
7-30,B,LMS (1450 McKinstry St),12.0,14.0
7-30,B,Food Field,5.0,5.0
7-30,B,Delray (585 S. Leigh St),4.0,5.0
7-30,B,Henry Ford,4.0,5.0
7-30,B,NWAC (18100 Meyers Rd),2.0,5.0
7-30,D,Northend,0,4.0
7-30,D,Delray (585 S. Leigh St),6.0,4.0
7-30,G,NWAC (18100 Meyers Rd),13.0,14.0
7-30,GP,Henry Ford,0.0,4.0
7-30,NF,LMS (1450 McKinstry St),4.0,5.0
7-30,NF,Pastuer,14.0,14.0
7-30,NF,Northend,5.0,5.0
7-30,NF,NWAC (18100 Meyers Rd),5.0,5.0
7-30,NF,Delray (585 S. Leigh St),0,5.0
7-30,NF,Henry Ford,12.0,4.0
7-30,R,HamTown (8625 Joseph Campau),1.0,4.0
7-30,R,Henry Ford,4.0,0
7-30,T,LMS (1450 McKinstry St),2.0,6.0
7-30,T,Food Field,0.0,4.0
7-30,T,Henry Ford,5.0,0
7-30,X2,Pastuer,0,15.0
7-30,X,LMS (1450 McKinstry St),0,2.0
7-30,X,Henry Ford,0,30.0
7-30,OP,HamTown (8625 Joseph Campau),17.0,14.0
7-15,AA,Delray (585 S. Leigh St),4.0,8.0
7-15,B,LMS (1450 McKinstry St),10.0,5.0
7-15,B,Henry Ford,5.0,5.0
7-15,B,Northwest,0,5.0
7-15,B,HamTown (8625 Joseph Campau),14.0,14.0
7-15,B,NWAC (18100 Meyers Rd),8.0,4.0
7-15,D,Delray (585 S. Leigh St),6.0,4.0
7-15,G,NWAC (18100 Meyers Rd),11.0,14.0
7-15,G,Northwest,4.0,4.0
7-15,GP,LMS (1450 McKinstry St),3.0,0
7-15,GP,Henry Ford,5.0,4.0
7-15,NF,LMS (1450 McKinstry St),19.0,18.0
7-15,NF,Northwest,0,4.0
7-15,NF,HamTown (8625 Joseph Campau),4.0,8.0
7-15,NF,Henry Ford,0,5.0
7-15,R,HamTown (8625 Joseph Campau),4.0,4.0
7-15,R,Henry Ford,0,4.0
7-15,T,LMS (1450 McKinstry St),0,6.0
7-15,T,Henry Ford,3.0,4.0
7-15,T,Brightmoor,1.0,4.0
7-15,X,Brightmoor,20.0,20.0
7-15,X,LMS (1450 McKinstry St),2.0,2.0
7-15,X,Henry Ford,30.0,30.0
7-15,X,NWAC (18100 Meyers Rd),15.0,15.0
7-15,OP,Henry Ford,0,0.0
7-15,OP,Delray (585 S. Leigh St),18.0,18.0
7-18,AA,The Science Center,5.0,8.0
7-18,B,The Science Center,4.0,10.0
7-18,B,The Zoo,30.0,18.0
7-18,B,Balduck,0,5.0
7-18,D,The Science Center,0,4.0
7-18,D,The Zoo,3.0,3.0
7-18,G,The Science Center,0,5.0
7-18,G,The Zoo,25.0,.
7-18,GP,The Science Center,5.0,0
7-18,GP,Balduck,0,4.0
7-18,NF,The Science Center,14.0,20.0
7-18,NF,The Zoo,18.0,3.0
7-18,NF,Balduck,4.0,4.0
7-18,R,The Science Center,8.0,4.0
7-18,R,Balduck,0,0.0
7-18,T,The Zoo,12.0,6.0
7-18,X2,The Science Center,24.0,25.0
7-18,X,The Zoo,0,10.0
7-18,OP,The Science Center,13.0,14.0
7-17,AA,Delray (585 S. Leigh St),3.0,8.0
7-17,B,LMS (1450 McKinstry St),13.0,5.0
7-17,B,Delray (585 S. Leigh St),14.0,14.0
7-17,B,Northwest,5.0,0
7-17,B,Bagley,0,5.0
7-17,B,NWAC (18100 Meyers Rd),3.0,8.0
7-17,D,Bagley,0,4.0
7-17,D,Delray (585 S. Leigh St),6.0,4.0
7-17,G,NWAC (18100 Meyers Rd),17.0,14.0
7-17,G,Bagley,0,5.0
7-17,GP,Bagley,5.0,4.0
7-17,NF,LMS (1450 McKinstry St),25.0,18.0
7-17,NF,Bagley,8.0,4.0
7-17,R,HamTown (8625 Joseph Campau),4.0,4.0
7-17,T,LMS (1450 McKinstry St),9.0,6.0
7-17,T,Northwest,4.0,4.0
7-17,T,Bagley,0,3.0
7-17,X,LMS (1450 McKinstry St),0,2.0
7-17,OP,HamTown (8625 Joseph Campau),13.0,18.0
7-16,AA,Delray (585 S. Leigh St),1.0,8.0
7-16,B,LMS (1450 McKinstry St),4.0,5.0
7-16,B,Food Field,0,5.0
7-16,B,Delray (585 S. Leigh St),17.0,14.0
7-16,B,NWAC (18100 Meyers Rd),0,4.0
7-16,D,Delray (585 S. Leigh St),10.0,4.0
7-16,G,NWAC (18100 Meyers Rd),9.0,14.0
7-16,G,Scarcyny,5.0,4.0
7-16,GP,Northend,1.0,4.0
7-16,NF,Northend,6.0,10.0
7-16,NF,LMS (1450 McKinstry St),19.0,18.0
7-16,NF,Food Field,4.0,4.0
7-16,NF,NWAC (18100 Meyers Rd),0,4.0
7-16,R,Scarcyny,0,4.0
7-16,R,HamTown (8625 Joseph Campau),5.0,4.0
7-16,T,LMS (1450 McKinstry St),5.0,6.0
7-16,T,Scarcyny,0,4.0
7-16,T,Delray (585 S. Leigh St),,0
7-16,X,LMS (1450 McKinstry St),0,2.0
7-16,OP,Scarcyny,0,0.0
7-16,OP,HamTown (8625 Joseph Campau),8.0,18.0
8-14,AA,Delray (585 S. Leigh St),3.0,5.0
8-14,B,LMS (1450 McKinstry St),14.0,14.0
8-14,B,Pastuer,3.0,
8-14,B,Plum steet,3.0,5.0
8-14,B,Tindal,0.0,5.0
8-14,B,NWAC (18100 Meyers Rd),5.0,5.0
8-14,D,Delray (585 S. Leigh St),,5.0
8-14,G,NWAC (18100 Meyers Rd),10.0,14.0
8-14,GP,Tindal,5.0,5.0
8-14,NF,LMS (1450 McKinstry St),8.0,10.0
8-14,NF,Plum steet,2.0,5.0
8-14,NF,Pastuer,15.0,14.0
8-14,R,Delray (585 S. Leigh St),7.0,5.0
8-14,T,LMS (1450 McKinstry St),4.0,6.0
